Model,TrainDomain,TestDomain,TestType,Accuracy,Precision,Recall,F1,Family
LR,ISOT,ISOT,In-domain,0.9894580549368968,0.9869767441860464,0.9909713574097136,0.988970017088706,ML
LR,ISOT,LIAR,Cross-domain,0.3717442778216259,0.6666666666666666,0.0248138957816377,0.0478468899521531,ML
LR,LIAR,ISOT,Cross-domain,0.4797327394209354,0.4777235276167226,0.9747820672478208,0.6412041777595741,ML
LR,LIAR,LIAR,In-domain,0.6408839779005525,0.6557231588287489,0.9168734491315136,0.7646145887221936,ML
SVM,ISOT,ISOT,In-domain,0.9948032665181886,0.995631825273011,0.99346201743462,0.9945457378837462,ML
SVM,ISOT,LIAR,Cross-domain,0.3701657458563536,0.6428571428571429,0.0223325062034739,0.0431654676258992,ML
SVM,LIAR,ISOT,Cross-domain,0.4941351150705271,0.4835720303285594,0.8935242839352429,0.6275281513064394,ML
SVM,LIAR,LIAR,In-domain,0.6045777426992897,0.6648648648648648,0.7630272952853598,0.7105719237435009,ML
bert-base-uncased,ISOT,ISOT,In-domain,1.0,1.0,1.0,1.0,Transformer
bert-base-uncased,ISOT,LIAR,Cross-domain,0.3638516179952644,0.0,0.0,0.0,Transformer
bert-base-uncased,LIAR,ISOT,Cross-domain,0.5016666666666667,0.5008347245409015,1.0,0.6674082313681868,Transformer
bert-base-uncased,LIAR,LIAR,In-domain,0.6361483820047356,0.6363636363636364,0.9987593052109182,0.7774022211492033,Transformer
roberta-base,ISOT,ISOT,In-domain,1.0,1.0,1.0,1.0,Transformer
roberta-base,ISOT,LIAR,Cross-domain,0.3630623520126282,0.4,0.0024813895781637,0.0049321824907521,Transformer
roberta-base,LIAR,ISOT,Cross-domain,0.5,0.5,1.0,0.6666666666666666,Transformer
roberta-base,LIAR,LIAR,In-domain,0.6369376479873717,0.6368670886075949,0.9987593052109182,0.7777777777777777,Transformer
